ID;UM_NAMES
692;Миргородская ул.
693;1-й Миргородский пер.
694;2-й Миргородский пер.
695;Мироновская ул.
696;Мирской пер.
697;Мирской пр.
698;3-й Митинский пр.
699;2-й Митинский пер.
700;1-й Митинский пер.
701;Митинская ул.
702;Миусская пл.
703;1-я Миусская ул.
704;2-я Миусская ул.
705;Миусский пер.
706;ул. Михайлова
707;Митьковский пр.
708;Михайловский пр.
709;Верх. Михайловский Поперечный пр.
710;1-й Верх. Михайловский пр.
711;2-й Верх. Михайловский пр.
712;3-й Верх. Михайловский пр.
713;4-й Верх. Михайловский пр.
714;5-й Верх. Михайловский пр.
715;1-й Нижн. Михайловский пр.
716;Михалковская ул.
717;3-й Михалковский пер.
718;ул. Михельсона
719;Михневская ул.
720;Михневский пр.
721;Б. Патриарший пер.
722;ул. Мичурина
723;Мичуринский просп.
724;Мишина ул.
725;Мишин пр.
726;ул. Нижн. Мнёвники
727;ул. Мнёвники
728;Б. Могильцевский пер.
729;М. Могильцевский пер.
730;ул. Можайский Вал
731;Можайский пер.
732;6-й Можайский пер.
733;1-й Можайский туп.
734;Можайское ш.
735;Молдавская ул.
736;ул. Молдагуловой
737;Молжаниновская ул.
738;Молодёжная ул.
739;Молодогвардейская ул.
740;ул. Молодцова
741;ул. Молокова
742;ул. Молостовых
743;Молочный пер.
744;ул. Б. Молчановка
745;ул. М. Молчановка
746;1-й Монетчиковский пер.
747;2-й Монетчиковский пер.
748;3-й Монетчиковский пер.
749;4-й Монетчиковский пер.
750;5-й Монетчиковский пер.
751;6-й Монетчиковский пер.
752;Монтажная ул.
753;Моревский пр.
754;ул. Павлика Морозова
755;Моршанская ул.
756;Петровский пер.
757;Москворецкая наб.
758;Москворецкая ул.
759;Москворецкая ул.
760;ул. Москворечье
761;Московская аллея
762;Московская ул.
763;Московский просп.
764;Маломосковская ул.
765;Московская ул.
766;Московский просп.
767;Московско-Казанский пер.
768;пл. Московско-Минской Дивизии
769;Мосфильмовская ул.
770;2-й Мосфильмовский пер.
771;Моторная ул.
772;Моховая ул.
773;Мрузовский пер.
774;3-я Музейная ул.
775;Мукомольный пр.
776;Муравская ул.
777;1-я Муравская ул.
778;2-я Муравская ул.
779;Мурановская ул.
780;Мурманский пр.
781;Муромская ул.
782;ул. Мусоргского
783;ул. Скульптора Мухиной
784;Мценская ул.
785;1-я Мытищинская ул.
786;2-я Мытищинская ул.
787;3-я Мытищинская ул.
788;Мытищинский пр.
789;Мытная ул.
790;Мякининский пр.
791;1-я Мякининская ул.
792;2-я Мякининская ул.
793;3-я Мякининская ул.
794;4-я Мякининская ул.
795;5-я Мякининская ул.
796;ул. Мясищева
797;Б. Афанасьевский пер.
798;1-я Мясниковская ул.
799;2-я Мясниковская ул.
800;пл. Мясницкие Ворота
801;Мячковский бульв.
802;Набережная ул.
803;Набережная ул.
804;Б. Набережная ул.
805;М. Набережная ул.
806;Нагатинская наб.
807;Нагатинская ул.
808;Нагатинский бульв.
809;1-й Нагатинский пр.
810;2-й Нагатинский пр.
811;3-й Нагатинский пр.
812;Нагорная ул.
813;Нагорный бульв.
814;Нагорный пр.
815;Налесный пер.
816;Наличная ул.
817;ул. Намёткина
818;пр. Нансена
819;Напольный пр.
820;1-я Напрудная ул.
821;2-я Напрудная ул.
822;Напрудный пер.
823;Нарвская ул.
824;Наримановская ул.
825;Народная ул.
826;ул. Народного Ополчения
827;Народный просп.
828;Наро-Фоминская ул.
829;Нарышкинская аллея
830;Нарышкинский пр.
831;Насосная ул.
832;Наставнический пер.
833;Ср. Наставнический пер.
834;Настасьинский пер.
835;Наташинская ул.
836;Научный пр.
837;Нахимовский просп.
838;ул. Неверовского
839;пер. Александра Невского
840;ул. Александра Невского
841;Неглинная ул.
842;Сандуновский пер.
843;Звонарский пер.
844;Нижн. Кисельный пер.
845;ул. Маршала Неделина
846;ул. Недорубова
847;пл. Зденека Неедлы
848;Брюсов пер.
849;Нежинская ул.
850;Некрасовская ул.
851;Нелидовская ул.
852;Неманский пр.
853;Глинищевский пер.
854;ул. Немчинова
855;1-й Неопалимовский пер.
856;2-й Неопалимовский пер.
857;3-й Неопалимовский пер.
858;пл. Джавахарлала Неру
859;Несвижский пер.
860;ул. Академика Несмеянова
861;ул. Пилота Нестерова
862;Нижегородская ул.
863;Нижегородский пер.
864;1-й Нижнелихоборский пр.
865;2-й Нижнемасловский пер.
866;ул. Нижние Поля
867;Нижняя ул.
868;Никитинская ул.
869;пл. Никитские Ворота
870;Никитников пер.
871;Николаевский туп.
872;ул. Николаева
873;Николоваганьковский пер.
874;Никольский пр.
875;Б. Николоворобинский пер.
876;М. Николоворобинский пер.
877;Ср. Николопесковский пер.
878;1-й Николощеповский пер.
879;2-й Николощеповский пер.
880;Николоямская наб.
881;Николоямский пер.
882;Николоямской туп.
883;Никольский туп.
884;Никольско-Архангельский пр.
885;Никоновский пер.
886;Никопольская ул.
887;3-я Никопольская ул.
888;Никулинская ул.
889;Никулинский пр.
890;ул. Новаторов
891;Новая пл.
892;Новая ул.
893;ул. Новая Дорога
894;ул. Новая Заря
895;Новгородская ул.
896;ул. Маршала Новикова
897;наб. Новикова-Прибоя
898;ул. Новинки
899;Новинский пер.
900;Новоалексеевская ул.
901;Новобутовская ул.
902;Новобутовский пр.
903;Нововаганьковский пер.
904;Нововладыкинский пр.
905;Нововоротниковский пер.
906;Новогиреевская ул.
907;Новогорская ул.
908;Новоданиловская наб.
909;Новоданиловский пр.
910;Новодачная ул.
911;Новодевичий пр.
912;пл. Новодевичьего Монастыря
913;Новодевичья наб.
914;Новодмитровская ул.
915;Б. Новодмитровская ул.
916;Новозаводская ул.
917;Новокирочный пер.
918;Новоконная пл.
919;Новоконюшенный пер.
920;Новокосинская ул.
921;Новокузнецкая ул.
922;1-й Новокузнецкий пер.
923;2-й Новокузнецкий пер.
924;1-я Новокузьминская ул.
925;4-я Новокузьминская ул.
926;12-я Новокузьминская ул.
927;Новокуркинское ш.
928;Новокрымский пр.
929;Новолесная ул.
930;Новолесной пер.
931;Новолужнецкий пр.
932;Новолучанская ул.
933;ул. Новомалино
934;Новая ул.
935;Новомарьинская ул.
936;Новомещерский пр.
937;1-й Новомихалковский пр.
938;3-й Новомихалковский пр.
939;4-й Новомихалковский пр.
940;Новомосковская ул.
941;Новооскольская ул.
942;2-я Новоостанкинская ул.
943;3-я Новоостанкинская ул.
944;5-й Новоостанкинский пр.
